Date, Time, Open, High, Low, Last, Volume, # of Trades, OHLC Avg, HLC Avg, HL Avg, Bid Volume, Ask Volume
2022/6/30, 02:20:00.0, 3768.25, 3770.00, 3767.00, 3768.25, 516, 429, 3768.38, 3768.42, 3768.50, 272, 244
2022/6/30, 02:21:00.0, 3768.25, 3769.75, 3766.00, 3766.75, 889, 571, 3767.69, 3767.50, 3767.88, 471, 418
2022/6/30, 02:22:00.0, 3766.75, 3767.00, 3765.00, 3765.25, 845, 676, 3766.00, 3765.75, 3766.00, 518, 327
2022/6/30, 02:23:00.0, 3765.25, 3770.50, 3765.00, 3766.75, 818, 691, 3766.88, 3767.42, 3767.75, 401, 417
2022/6/30, 02:24:00.0, 3767.00, 3768.50, 3765.25, 3768.50, 497, 414, 3767.31, 3767.42, 3766.88, 241, 256
2022/6/30, 02:25:00.0, 3768.50, 3770.25, 3767.25, 3769.50, 443, 404, 3768.88, 3769.00, 3768.75, 188, 255
2022/6/30, 02:26:00.0, 3769.25, 3771.00, 3768.50, 3769.25, 1108, 721, 3769.50, 3769.58, 3769.75, 559, 549
2022/6/30, 02:27:00.0, 3769.25, 3773.00, 3768.75, 3772.75, 681, 558, 3770.94, 3771.50, 3770.88, 253, 428
2022/6/30, 02:28:00.0, 3772.75, 3774.00, 3771.75, 3772.25, 627, 522, 3772.69, 3772.67, 3772.88, 334, 293
2022/6/30, 02:29:00.0, 3772.25, 3772.25, 3768.50, 3769.00, 529, 455, 3770.50, 3769.92, 3770.38, 299, 230
2022/6/30, 02:30:00.0, 3769.25, 3769.50, 3765.50, 3766.25, 650, 562, 3767.63, 3767.08, 3767.50, 387, 263
2022/6/30, 02:31:00.0, 3766.25, 3769.00, 3766.25, 3768.75, 749, 623, 3767.56, 3768.00, 3767.63, 357, 392
2022/6/30, 02:32:00.0, 3768.75, 3771.75, 3768.50, 3771.00, 1072, 715, 3770.00, 3770.42, 3770.13, 477, 595
2022/6/30, 02:33:00.0, 3771.25, 3771.75, 3769.00, 3770.25, 775, 524, 3770.56, 3770.33, 3770.38, 393, 382
2022/6/30, 02:34:00.0, 3770.25, 3772.75, 3769.75, 3772.50, 579, 468, 3771.31, 3771.67, 3771.25, 275, 304
2022/6/30, 02:35:00.0, 3772.75, 3773.50, 3771.25, 3772.50, 665, 556, 3772.50, 3772.42, 3772.38, 347, 318
2022/6/30, 02:36:00.0, 3772.75, 3774.25, 3772.75, 3773.75, 508, 406, 3773.38, 3773.58, 3773.50, 275, 233
2022/6/30, 02:37:00.0, 3773.75, 3773.75, 3771.00, 3773.00, 379, 296, 3772.88, 3772.58, 3772.38, 230, 149
2022/6/30, 02:38:00.0, 3773.25, 3775.00, 3772.75, 3773.75, 645, 510, 3773.69, 3773.83, 3773.88, 264, 381
2022/6/30, 02:39:00.0, 3773.75, 3774.00, 3770.00, 3772.00, 494, 404, 3772.44, 3772.00, 3772.00, 275, 219
2022/6/30, 02:40:00.0, 3772.25, 3775.00, 3772.25, 3773.75, 432, 343, 3773.31, 3773.67, 3773.63, 232, 200
2022/6/30, 02:41:00.0, 3773.75, 3777.00, 3773.75, 3774.25, 781, 535, 3774.69, 3775.00, 3775.38, 361, 420
2022/6/30, 02:42:00.0, 3774.25, 3775.50, 3773.75, 3775.25, 360, 304, 3774.69, 3774.83, 3774.63, 164, 196
2022/6/30, 02:43:00.0, 3775.50, 3777.75, 3775.25, 3777.50, 738, 544, 3776.50, 3776.83, 3776.50, 345, 393
2022/6/30, 02:44:00.0, 3777.50, 3778.00, 3776.75, 3777.25, 276, 248, 3777.38, 3777.33, 3777.38, 133, 143
2022/6/30, 02:45:00.0, 3777.00, 3778.25, 3775.00, 3775.50, 1117, 666, 3776.44, 3776.25, 3776.63, 579, 538
2022/6/30, 02:46:00.0, 3775.50, 3776.75, 3773.00, 3775.25, 2460, 1410, 3775.13, 3775.00, 3774.88, 1264, 1196
2022/6/30, 02:47:00.0, 3775.50, 3776.50, 3775.00, 3776.50, 223, 173, 3775.88, 3776.00, 3775.75, 87, 136
2022/6/30, 02:48:00.0, 3776.75, 3780.50, 3776.25, 3780.00, 767, 605, 3778.38, 3778.92, 3778.38, 272, 495
2022/6/30, 02:49:00.0, 3780.00, 3781.75, 3779.50, 3781.50, 511, 414, 3780.69, 3780.92, 3780.63, 232, 279
2022/6/30, 02:50:00.0, 3781.75, 3782.50, 3780.50, 3781.25, 833, 712, 3781.50, 3781.42, 3781.50, 442, 391
2022/6/30, 02:51:00.0, 3781.25, 3782.25, 3781.00, 3781.75, 298, 265, 3781.56, 3781.67, 3781.63, 144, 154
2022/6/30, 02:52:00.0, 3781.75, 3782.50, 3781.00, 3781.75, 312, 276, 3781.75, 3781.75, 3781.75, 159, 153
2022/6/30, 02:53:00.0, 3781.50, 3782.75, 3781.50, 3782.00, 585, 414, 3781.94, 3782.08, 3782.13, 263, 322
