date,time,open,high,low,close,volume
2021-06-17,07:00:00,13902.75,13933.25,13901,13902.25,10218
2021-06-17,08:00:00,13902,13924.25,13884.25,13912,12835
2021-06-17,09:00:00,13912.5,14033.5,13904.25,14024.75,78768
2021-06-17,10:00:00,14025,14128.5,14015.25,14103.25,103689
2021-06-17,11:00:00,14103.5,14191.5,14098.25,14141.5,84953
2021-06-17,12:00:00,14141.5,14152.75,14060,14105.75,82992
2021-06-17,13:00:00,14106,14188,14105.25,14166.75,54185
2021-06-17,14:00:00,14167,14181.5,14151.5,14164,36333
2021-06-17,15:00:00,14163.75,14199,14149,14156.25,68873
2021-06-17,16:00:00,14156,14183.5,14152.25,14177,12789
2021-06-17,18:00:00,14180,14190,14170,14188.25,2402
2021-06-17,19:00:00,14188.25,14189.25,14173,14176.25,2956
2021-06-17,20:00:00,14176.25,14183.75,14163,14179.25,4416
2021-06-17,21:00:00,14179.75,14202,14173.25,14193.75,4545
2021-06-17,22:00:00,14193.5,14196.75,14185.25,14191,2379
2021-06-17,23:00:00,14190.75,14198.75,14188.25,14191,1534
2021-06-18,00:00:00,14191,14191.25,14183.75,14187.25,1742
2021-06-18,01:00:00,14187.75,14204.75,14184.25,14200.25,3164
2021-06-18,02:00:00,14200.25,14204.5,14185.25,14192,4267
2021-06-18,03:00:00,14191.25,14197.25,14168.5,14176,6214
2021-06-18,04:00:00,14176,14189.5,14171.75,14183.75,5965
2021-06-18,05:00:00,14183.25,14189,14177.75,14186.75,4329
2021-06-18,06:00:00,14186.25,14186.75,14166.75,14177.25,5394
2021-06-18,07:00:00,14176.75,14181,14134.5,14156.5,11987
2021-06-18,08:00:00,14157,14157.25,14051,14105.75,39804
2021-06-18,09:00:00,14105.75,14131.5,14044.5,14096.5,100732
2021-06-18,10:00:00,14097.25,14125,14064,14076.25,88036
2021-06-18,11:00:00,14076,14093,14010,14052,72887
2021-06-18,12:00:00,14051.75,14091.5,14044,14082.25,38577
2021-06-18,13:00:00,14082.25,14109.25,14057.5,14076.75,33448
2021-06-18,14:00:00,14076.75,14099.75,14033,14039,37249
2021-06-18,15:00:00,14039,14092.75,14023.5,14041.75,66874
2021-06-18,16:00:00,14041.75,14049,14015,14017.75,20238
2021-06-20,18:00:00,14022.75,14047.25,14010,14042.25,5792
2021-06-20,19:00:00,14042.5,14045.25,14025.75,14038,3543
2021-06-20,20:00:00,14038,14046.75,14019,14036,5230
2021-06-20,21:00:00,14036.75,14038,14003.75,14004,6279
2021-06-20,22:00:00,14003.75,14019.5,13994.5,14009.75,5962
2021-06-20,23:00:00,14009.5,14010,13983.75,14002.25,6123
2021-06-21,00:00:00,14002.25,14011.75,13992,14001,3757
2021-06-21,01:00:00,14000.75,14010,13992,14008.5,3416
2021-06-21,02:00:00,14008.5,14082.25,14004.5,14055.25,12350
2021-06-21,03:00:00,14054.75,14113.25,14037.5,14094,18695
2021-06-21,04:00:00,14094.25,14105.25,14066,14099,12688
2021-06-21,05:00:00,14099,14126.75,14095,14112,9727
2021-06-21,06:00:00,14111.5,14115.25,14093.75,14100.75,6425
2021-06-21,07:00:00,14100.5,14107.25,14062,14076.75,11940
2021-06-21,08:00:00,14077,14079.75,14049.75,14068.25,12550
2021-06-21,09:00:00,14067.5,14072.25,13958.5,14057.25,96867
2021-06-21,10:00:00,14057.25,14115,14013,14097,86612
2021-06-21,11:00:00,14097.25,14133,14092,14114,49191
2021-06-21,12:00:00,14114.5,14127,14100.75,14107.25,28293
2021-06-21,13:00:00,14107.25,14144,14097,14133.75,28943
2021-06-21,14:00:00,14133.75,14138.5,14112,14127,26390
2021-06-21,15:00:00,14127.25,14136,14097.25,14128.25,48369
2021-06-21,16:00:00,14128.25,14141,14126,14137.5,8586
2021-06-21,18:00:00,14136.75,14141.75,14128.5,14132,1856
2021-06-21,19:00:00,14131.75,14148.75,14129.75,14134.75,2659
2021-06-21,20:00:00,14134.5,14154,14131.25,14143.75,4378
2021-06-21,21:00:00,14143,14148,14133.25,14135.75,2724
2021-06-21,22:00:00,14135.75,14143.75,14133,14134.25,2109
2021-06-21,23:00:00,14135,14140.5,14133.5,14136.75,1267
2021-06-22,00:00:00,14137.5,14153,14136.25,14146.25,1835
2021-06-22,01:00:00,14146.5,14146.75,14130.25,14134,2460
2021-06-22,02:00:00,14134,14145.5,14121.25,14123.25,4449
2021-06-22,03:00:00,14123,14125.25,14066.5,14075.5,9310
2021-06-22,04:00:00,14076,14091,14072.75,14086.25,6190
2021-06-22,05:00:00,14086.5,14116,14085.25,14107.5,6595
2021-06-22,06:00:00,14107.25,14143.75,14105,14138.75,7097
2021-06-22,07:00:00,14138.5,14179,14137,14171.25,10071
2021-06-22,08:00:00,14171.75,14177.25,14117,14128,13584
2021-06-22,09:00:00,14128,14176.75,14107.5,14142.5,78193
2021-06-22,10:00:00,14143,14184.75,14121,14170,66856
2021-06-22,11:00:00,14170,14215,14166.75,14199,44824
2021-06-22,12:00:00,14199,14233,14199,14221.25,27982
2021-06-22,13:00:00,14221.25,14227.25,14204,14221.25,22545
2021-06-22,14:00:00,14221,14239.75,14209.25,14237.75,27508
2021-06-22,15:00:00,14237.5,14279.25,14235.25,14257.75,61978
2021-06-22,16:00:00,14257.75,14278.5,14254.5,14268.5,10110
2021-06-22,18:00:00,14274,14274,14264.25,14268.75,1967
2021-06-22,19:00:00,14268.75,14278.5,14268.75,14272.25,1823
2021-06-22,20:00:00,14272.5,14286,14267.5,14282,3883
2021-06-22,21:00:00,14281.75,14288.5,14277.25,14284,2851
2021-06-22,22:00:00,14283.25,14296.25,14282.75,14291.25,2977
2021-06-22,23:00:00,14291.5,14301.25,14291,14293,2317
2021-06-23,00:00:00,14292.75,14294,14286.25,14286.5,1690
2021-06-23,01:00:00,14286.5,14313.75,14283,14305.5,4018
2021-06-23,02:00:00,14305.75,14308.25,14290,14292,4916
2021-06-23,03:00:00,14292.5,14297.25,14260.25,14269.25,8456
2021-06-23,04:00:00,14268.5,14275.25,14257.25,14265,4888
2021-06-23,05:00:00,14265.25,14273,14251.75,14264.75,5299
2021-06-23,06:00:00,14265,14280.5,14258.5,14268.5,4076
2021-06-23,07:00:00,14268.5,14270.5,14239,14263,9561
2021-06-23,08:00:00,14262.75,14279.25,14257.25,14272.5,8480
2021-06-23,09:00:00,14272.25,14311.75,14252.25,14305.5,58791
2021-06-23,10:00:00,14305.25,14315.75,14265,14276.5,62561
2021-06-23,11:00:00,14276.25,14288.75,14250.25,14285.25,43978
2021-06-23,12:00:00,14285.5,14290.25,14231.75,14260.75,31275
2021-06-23,13:00:00,14261,14284.25,14253,14281.75,23249
2021-06-23,14:00:00,14281.25,14287,14262.5,14281,23175
2021-06-23,15:00:00,14280.75,14293.75,14253.5,14263,42950
2021-06-23,16:00:00,14263.25,14277.25,14262,14274.25,7029
2021-06-23,18:00:00,14275.25,14282,14270,14279,1438
2021-06-23,19:00:00,14279.5,14286.5,14273.25,14286.5,1718
2021-06-23,20:00:00,14286.25,14299,14285,14293.75,3379
2021-06-23,21:00:00,14293.25,14304.5,14290.25,14299,3283
2021-06-23,22:00:00,14299.75,14301.75,14294,14298.25,2331
2021-06-23,23:00:00,14298.5,14308,14294,14305,2057
2021-06-24,00:00:00,14304.75,14306,14299.25,14301.75,993
2021-06-24,01:00:00,14302,14305,14294.75,14300,1750
2021-06-24,02:00:00,14299.25,14303.5,14295,14298.5,2831
2021-06-24,03:00:00,14298.5,14313.75,14295.5,14308.25,6050
2021-06-24,04:00:00,14308,14350.25,14306,14347.25,10906
2021-06-24,05:00:00,14348.25,14358.75,14343,14347,5077
2021-06-24,06:00:00,14346.75,14353,14337.75,14340.5,4127
2021-06-24,07:00:00,14340.5,14349.25,14336.5,14347,5667
2021-06-24,08:00:00,14346.5,14358,14336.5,14345.75,9548
2021-06-24,09:00:00,14345.75,14386.25,14342.25,14376.5,59134
2021-06-24,10:00:00,14376.75,14411.75,14371,14388.75,61915
2021-06-24,11:00:00,14388.75,14401,14378.5,14395.75,32727
2021-06-24,12:00:00,14395.5,14422,14362,14370,43813
2021-06-24,13:00:00,14369.75,14384,14327.25,14354.25,50351
2021-06-24,14:00:00,14354.25,14380,14351.75,14369,31522
2021-06-24,15:00:00,14368.75,14372.25,14332,14354.25,55557
2021-06-24,16:00:00,14354,14361.75,14348.75,14359,9371
2021-06-24,18:00:00,14365.75,14367,14350.75,14364.5,2241
2021-06-24,19:00:00,14365,14365.75,14344.5,14346.75,1796
2021-06-24,20:00:00,14347.25,14354.25,14341,14348.5,2701
2021-06-24,21:00:00,14348,14353.5,14332,14346.25,3572
2021-06-24,22:00:00,14346.75,14361,14343.5,14357.25,2433
2021-06-24,23:00:00,14357.25,14374.5,14354.25,14373.75,3524
2021-06-25,00:00:00,14373.75,14375.5,14357,14361,2291
2021-06-25,01:00:00,14361.75,14373.75,14355.75,14366.25,2569
2021-06-25,02:00:00,14366.25,14367.5,14353.25,14361.5,2895
2021-06-25,03:00:00,14361,14363.75,14344.5,14359.5,4458
2021-06-25,04:00:00,14360,14374,14356.25,14371.25,4740
2021-06-25,05:00:00,14371.25,14392,14364.25,14384,5247
2021-06-25,06:00:00,14383.5,14384.5,14371.75,14381.75,3343
2021-06-25,07:00:00,14381.75,14383.5,14357,14362.25,5469
2021-06-25,08:00:00,14361.5,14394.25,14351,14375.75,14865
2021-06-25,09:00:00,14375.75,14390.5,14329.25,14341.25,64621
2021-06-25,10:00:00,14341.25,14372.75,14313.25,14343.25,71493
2021-06-25,11:00:00,14343.5,14365.5,14333.25,14355.75,36392
2021-06-25,12:00:00,14355.5,14356.5,14321.25,14338,28058
2021-06-25,13:00:00,14338,14343,14317.75,14329.75,24322
2021-06-25,14:00:00,14330,14354.5,14321.75,14352,27882
2021-06-25,15:00:00,14352,14358.5,14318.5,14338.75,50096
2021-06-25,16:00:00,14339,14345,14322.25,14331,10505
2021-06-27,18:00:00,14350,14366.75,14337,14363.75,3775
2021-06-27,19:00:00,14363,14365.5,14343,14354.75,2466
2021-06-27,20:00:00,14355,14356,14339,14344.5,2750
2021-06-27,21:00:00,14344,14347.5,14333.25,14341.25,2426
2021-06-27,22:00:00,14340.5,14348.5,14336.25,14345,1976
2021-06-27,23:00:00,14345.5,14354.5,14344.75,14350.5,1840
2021-06-28,00:00:00,14351,14359.5,14349,14357,1333
2021-06-28,01:00:00,14357.25,14365,14353,14361.5,2761
2021-06-28,02:00:00,14361.75,14362.25,14349.5,14357,3045
2021-06-28,03:00:00,14357,14386.75,14352,14375.75,7346
